153902262	POG0001
153902273	POG0001
262064144	POG0001
262064155	POG0001
262064166	POG0001
262064177	POG0001
166204	POG0001
215397	POG0001
350280587	POG0001
350280598	POG0001
350280609	POG0001
17426220	POG0001
331267967	POG0001
17975750	POG0001
9626235	POG0001
70727685	POG0001
153902265	POG0002
153902276	POG0002
262064147	POG0002
262064158	POG0002
262064169	POG0002
262064180	POG0002
166207	POG0002
215400	POG0002
350280590	POG0002
350280601	POG0002
350280612	POG0002
17426223	POG0002
9625388	POG0002
9630751	POG0002
9626238	POG0002
153902268	POG0003
153902279	POG0003
262064150	POG0003
262064161	POG0003
262064172	POG0003
262064183	POG0003
166210	POG0003
215403	POG0003
350280593	POG0003
350280604	POG0003
350280615	POG0003
17426226	POG0003
9625390	POG0003
9630754	POG0003
9630769	POG0003
9626241	POG0003
153902268	POG0004
153902279	POG0004
262064150	POG0004
262064161	POG0004
262064172	POG0004
262064183	POG0004
166210	POG0004
215403	POG0004
350280593	POG0004
350280604	POG0004
350280615	POG0004
17426226	POG0004
301335112	POG0004
17530552	POG0004
331267972	POG0004
354804980	POG0004
9625373	POG0004
9626134	POG0004
9626322	POG0004
9635473	POG0004
9635484	POG0004
18071309	POG0004
23455828	POG0004
30039751	POG0004
156535142	POG0004
49248527	POG0004
49248536	POG0004
52221130	POG0004
70727682	POG0004
117676351	POG0004
118430720	POG0004
209901324	POG0004
238821380	POG0004
332672305	POG0004
327198635	POG0004
153902269	POG0005
153902280	POG0005
262064151	POG0005
262064162	POG0005
262064173	POG0005
262064184	POG0005
166211	POG0005
215404	POG0005
350280594	POG0005
350280605	POG0005
350280616	POG0005
17426227	POG0005
9625382	POG0005
9626321	POG0005
9630755	POG0005
9630770	POG0005
9626242	POG0005
301335110	POG0006
9630767	POG0006
9635471	POG0006
9635482	POG0006
18071306	POG0006
30039749	POG0006
49248525	POG0006
49248534	POG0006
238821378	POG0006
301335111	POG0007
9626320	POG0007
18071307	POG0007
23455827	POG0007
30039750	POG0007
49248526	POG0007
49248535	POG0007
70727683	POG0007
238821379	POG0007
301335113	POG0008
17530555	POG0008
18071310	POG0008
23455829	POG0008
115334665	POG0008
301335114	POG0009
354804982	POG0009
9635475	POG0009
30039753	POG0009
238821381	POG0009
301335115	POG0010
331267974	POG0010
354804983	POG0010
9632860	POG0010
9635476	POG0010
18071299	POG0010
